,Prutor ID,Department,Semester,Current CGPA,Rate your problem solving ability on the scale of 1 to 5,Rate your coding proficiency on the scale of 1 to 5,Years of coding experience,How comfortable are you coding in C?,Which language are you most comfortable coding in?
75,180,M.Tech Computer Science / M.C.A,4,7.1,3,3,2-3 years,3,C/C++/C#
76,181,M.Tech Computer Science / M.C.A,4,7.91,1,1,3-4 years,2,C/C++/C#
77,181,M.Tech Computer Science / M.C.A,4,7.91,1,1,3-4 years,2,C/C++/C#
78,183,M.Tech Computer Science / M.C.A,4,7.73,3,2,2-3 years,3,C/C++/C#
79,184,M.Tech Computer Science / M.C.A,4,6.7,3,2,2-3 years,3,C/C++/C#
80,185,M.Tech Computer Science / M.C.A,4,9.34,4,4,>4 years,2,Javascript
81,186,M.Tech Computer Science / M.C.A,4,9.11,3,3,1-2 years,3,"Web Based Scripting Languages (Like JS, PHP, etc.)"
82,187,M.Tech Computer Science / M.C.A,4th,6.95,3,3,<1 year,3,C/C++/C#
83,188,M.Tech Computer Science / M.C.A,4,7.1,3,3,1-2 years,2,"Web Based Scripting Languages (Like JS, PHP, etc.)"
84,191,B.Tech Computer Science,6,7.91,3,3,2-3 years,3,C/C++/C#
85,192,B.Tech Computer Science,6,9.45,4,4,1-2 years,4,C/C++/C#
86,193,B.Tech Computer Science,6th sem,9.48,3,3,2-3 years,4,C/C++/C#
87,194,B.Tech Electrical / Electronics,2,8.75,3,3,2-3 years,3,C/C++/C#
88,195,B.Tech Computer Science,4,9.29,3,3,1-2 years,3,Python
89,196,B.Tech Computer Science,4,9.35,4,3,1-2 years,4,C/C++/C#
90,197,B.Tech Computer Science,6,9.37,4,4,2-3 years,4,C/C++/C#
91,198,B.Tech Computer Science,4,7.38,1,2,1-2 years,3,Python
92,199,B.Tech Computer Science,4,8.54,3,3,1-2 years,4,C/C++/C#
93,200,B.Tech Computer Science,4,9.12,4,4,1-2 years,4,C/C++/C#
94,201,B.Tech Computer Science,4,9.5,1,1,<1 year,1,RISC-V Assembly
95,202,B.Tech Computer Science,4,9.97,4,3,2-3 years,5,C/C++/C#
96,203,B.Tech Computer Science,4,8.72,4,4,1-2 years,5,Python
97,204,M.Tech Computer Science / M.C.A,4,8.59,3,3,3-4 years,3,C/C++/C#
98,209,M.Tech Computer Science / M.C.A,4,8.1,3,3,2-3 years,3,Python
99,210,M.Tech Computer Science / M.C.A,4th,5.5,3,2,<1 year,2,Python
100,212,M.Tech Computer Science / M.C.A,2,8.71,2,2,<1 year,3,C/C++/C#
101,213,M.Tech Computer Science / M.C.A,2,8.9,2,2,<1 year,2,C/C++/C#
102,215,M.Tech Computer Science / M.C.A,2,9.33,2,3,3-4 years,3,Java
103,216,M.Tech Computer Science / M.C.A,2nd,7.9,3,3,<1 year,3,C/C++/C#
104,221,MCA,4,7.77,4,3,3-4 years,3,Python
105,223,M.Tech Computer Science / M.C.A,4,7.5,3,3,2-3 years,3,C/C++/C#
106,224,M.Tech Computer Science / M.C.A,4,7.55,3,3,1-2 years,2,Java
107,225,M.Tech Computer Science / M.C.A,4,8.41,4,3,3-4 years,3,Java
108,226,M.Tech Computer Science / M.C.A,4,8.95,4,3,>4 years,3,C/C++/C#
109,228,M.Tech Computer Science / M.C.A,2,8.48,3,3,2-3 years,3,C/C++/C#
110,229,M.Tech Computer Science / M.C.A,2nd,6.8,3,3,1-2 years,2,C/C++/C#
111,230,M.Tech Computer Science / M.C.A,4,7.6,4,4,3-4 years,4,C/C++/C#
